drug	status	target	atc	cas
atp	non			
proline	non			
asparagine	non			
minocycline	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
lymecycline	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
tigecycline	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
paromomycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
metacycline	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
lincomycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
chloramphenicol	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
pyruvic acid	non			
arginine	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glutamic acid	non			
glycine	non			
creatine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
aminolevulinic acid	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
glycocyamine	non			
3-hydroxypyruvic acid	non			
orotidylic acid	non			
flavin adenine dinucleotide	non			
pyruvaldehyde	non			
formaldehyde	non			
2-amino-3-ketobutyric acid	non			
d-serine	non			
pyrophosphoric acid	non			
glyoxylic acid	non			
dexfosfoserine	non			
2-oxobutanoic acid	non			
pyridoxal phosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
pyruvic acid	non			
arginine	non			
adenosine phosphate	non			
serine	non			
methionine	non			
glutamic acid	non			
glycine	non			
creatine	non			
cysteine	non			
nadh	non			
alanine	non			
atp	non			
aminolevulinic acid	non			
magnesium cation	non			
zinc	non			
n,n-dimethylglycine	non			
glycocyamine	non			
3-hydroxypyruvic acid	non			
orotidylic acid	non			
flavin adenine dinucleotide	non			
pyruvaldehyde	non			
formaldehyde	non			
2-amino-3-ketobutyric acid	non			
d-serine	non			
pyrophosphoric acid	non			
glyoxylic acid	non			
dexfosfoserine	non			
2-oxobutanoic acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
azithromycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
clindamycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
erythromycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
kanamycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
framycetin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
d-serine	approved			312-84-5
4-methyl-pyrroline-5-carboxylic acid	non			
diguanosine-5'-triphosphate	non			
lfa703	non			
c-1027 aromatized chromophore	non			
zinc protoporphyrin	non			
1,4-dideoxy-o2-sulfo-glucuronic acid	non			
1-deoxy-ribofuranose-5'-phosphate	non			
d-erythrose 4-phosphate	non			585-18-2
deacetoxycephalosporin c	non			26924-74-3
(4s)-4-hydroxy-3,4-dihydro-2(1h)-pyrimidinone	non			
oxamic acid	non			471-47-6
p-heptylphenol	non			1987-50-4
carboxylic prpp	non			
d-asparagine	non			2058-58-4
5-[1-(3,4-dimethoxy-benzoyl)-1,2,3,4-tetrahydro-quinolin-6-yl]-6-methyl-3,6-dihydro-[1,3,4]thiadiazin-2-one	non			
pyridoxal phosphate	non			
serine	non			
atp	non			
calcium	non			
magnesium cation	non			
zinc	non			
uridine diphosphate glucose	non			
hexadecanal	non			
uridine-5'-diphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			3616-04-4
3,4-dihydroxybenzoic acid	non			99-50-3
d-xylulose	non			551-84-8
6-chloropurine riboside, 5'-monophosphate	non			
n-[(2s)-3-phenyl-2-sulfanylpropanoyl]-l-phenylalanyl-l-tyrosine	non			
(s)-n-(3-indol-1-yl-2-methyl-propyl)-4-sulfamoyl-benzamide	non			
n-acetyl-d-glucosamine-6-phosphate	non			
9-(6-deoxy-beta-d-allofuranosyl)-6-methylpurine	non			
thiocitrulline	non			156719-37-8
1-deoxymannojirimycin	non			84444-90-6
inositol 2,4,5-trisphosphate	non			91840-07-2
sp2456	non			
7-methyl-guanosine-5'-triphosphate-5'-guanosine	non			
n,o6-disulfo-glucosamine	non			
cp-coeleneterazine	non			
2c-methyl-d-erythritol 2,4-cyclodiphosphate	non			
nicotinamide 8-bromo-adenine dinucleotide phosphate	non			
s-(dimethylarsenic)cysteine	non			
4-hydroxy-aconitate ion	non			
clorobiocin	non			39868-96-7
dodecyl sulfate	non			151-41-7
1-methyl-2-oxy-5,5-dimethyl pyrrolidine	non			
(7r)-7-(6,7-dihydro-5h-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid	non			
acarbose derived hexasaccharide	non			
2-amino-4h-1,3-benzoxathiin-4-ol	non			
3-[2,6,8-trioxo-9-[(2r,3r,4r)-2,3,4,5-tetrahydroxypentyl]-3h-purin-7-yl]propyl dihydrogen phosphate	non			
l-homoarginine	non			156-86-5
mercuribenzoic acid	non			
phosphorylisopropane	non			
trimethyllysine	non			19253-88-4
tyrosinal	non			
1-[glycerolylphosphonyl]-2-[8-(2-hexyl-cyclopropyl)-octanal-1-yl]-3-[hexadecanal-1-yl]-glycerol	non			
4-(fluorophenyl)-1-cyclopropylmethyl-5-(2-amino-4-pyrimidinyl)imidazole	non			
1,4-dideoxy-5-dehydro-o2-sulfo-glucuronic acid	non			
compound 5, 2-(naphthalen-1-yl-oxalyl-amino)-benzoicacid	non			
{[2-amino-4-oxo-6,7-di(sulfanyl-κs)-3,5,5a,8,9a,10-hexahydro-4h-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(dioxo)sulfanylmolybdenum	non			
morpholine-4-carboxylic acid [1-(2-benzylsulfanyl-1-formyl-ethylcarbamoyl)-2-phenyl-ethyl]-amide	non			
r-azabisabolene	non			
6-methyl-formycin a	non			
2,4-diamino-6-[n-(3',5'-dimethoxybenzyl)-n-methylamino]pyrido[2,3-d]pyrimidine	non			
2,6-diamino-hexanoic acid amide	non			
d-allopyranose	non			2595-97-3
4'-nitrophenyl-3i-thiolaminaritrioside	non			
2-deoxy-2,3-dehydro-n-acetylneuraminic acid	non			24967-27-9
3-(benzoylamino)-l-alanine	non			
isocaproic acid	non			646-07-1
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ademetionine	non			
choline	non			
phosphatidyl serine	non			
atp	non			
cytidine-5'-triphosphate	non			
n,n,n-trimethyl-2-(phosphonooxy)ethanaminium	non			
ethanolamine	non			
pyrophosphoric acid	non			
ethanolamine	non			141-43-5
betadex	non			7585-39-9
3-[(5s)-1-acetyl-3-(2-chlorophenyl)-4,5-dihydro-1h-pyrazol-5-yl]phenol	non			
l-histidinol phosphate	non			25679-93-0
[2-(methyleneamine)-4-(4-hydroxy-benzylidine)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde	non			
butylphosphonate	non			
bromo-willardiine	non			
6-(oxalyl-amino)-1h-indole-5-carboxylic acid	non			
4-sulfonamide-[4-(thiomethylaminobutane)]benzamide	non			
{4-[(2s)-2-acetamido-3-({(1s)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid	non			
2,6-diamino-8-(2-dimethylaminoethylsulfanylmethyl)-3h-quinazolin-4-one	non			
uridine 5'-triphosphate	non			63-39-8
[2-amino-6-(2,6-difluoro-benzoyl)-imidazo[1,2-a]pyridin-3-yl]-phenyl-methanone	non			
bromo-wr99210	non			
zinc;[amino-[2-[[5-[amino(azaniumylidene)methyl]benzimidazol-1-id-2-yl]methyl]benzimidazol-1-id-5-yl]methylidene]azanium	non			
dimethyl propionate ester heme	non			
2-(3'-methoxyphenyl) benzimidazole-4-carboxamide	non			
2'-(4-dimethylaminophenyl)-5-(4-methyl-1-piperazinyl)-2,5'-bi-benzimidazole	non			
(3r)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-l-leucine	non			
1-deoxy-1-methoxycarbamido-beta-d-gluco-2-heptulopyranosonamide	non			
alsterpaullone	non			
methionine phosphinate	non			
2-[3-({methyl[1-(2-naphthoyl)piperidin-4-yl]amino}carbonyl)-2-naphthyl]-1-(1-naphthyl)-2-oxoethylphosphonic acid	non			
clorgiline	non			17780-72-2
s-isopropyl-isothiourea	non			
4-(2-{[4-{[3-(4-chlorophenyl)propyl]sulfanyl}-6-(1-piperazinyl)-1,3,5-triazin-2-yl]amino}ethyl)phenol	non			
mf268	non			
guanosine tetraphosphate	non			33503-72-9
gdp-alpha-d-mannuronic acid	non			
serine-3'-aminoadenosine	non			
pseudotropine	non			135-97-7
d-arginine	non			157-06-2
tyvelose	non			5658-12-8
phenylalanylamide	non			5241-58-7
1,3,4,9-tetrahydro-2-(hydroxybenzoyl)-9-[(4-hydroxyphenyl)methyl]-6-methoxy-2h-pyrido[3,4-b]indole	non			
serine vanadate	non			
adamantane-1-carboxylic acid-5-dimethylamino-naphthalene-1-sulfonylamino-butyl-amide	non			
z-ala prolinal	non			
adenosine phosphate	non			
atp	non			
magnesium cation	non			
iron	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
glyceraldehyde-3-phosphate	non			
ribose-1-phosphate	non			
ribulose-5-phosphate	non			
dihydroxyacetone phosphate	non			
gluconolactone	non			
adenosine phosphate	non			
atp	non			
magnesium cation	non			
iron	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
glyceraldehyde-3-phosphate	non			
ribose-1-phosphate	non			
ribulose-5-phosphate	non			
dihydroxyacetone phosphate	non			
gluconolactone	non			
adenosine phosphate	non			
atp	non			
magnesium cation	non			
iron	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
glyceraldehyde-3-phosphate	non			
ribose-1-phosphate	non			
ribulose-5-phosphate	non			
dihydroxyacetone phosphate	non			
gluconolactone	non			
adenosine phosphate	non			
atp	non			
magnesium cation	non			
iron	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
glyceraldehyde-3-phosphate	non			
ribose-1-phosphate	non			
ribulose-5-phosphate	non			
dihydroxyacetone phosphate	non			
gluconolactone	non			
pyruvic acid	non			
biotin	non			
l-glutamine	non			
succinic acid	non			
glutamic acid	non			
nadh	non			
atp	non			
potassium cation	non			
magnesium cation	non			
2-phospho-d-glyceric acid	non			
phosphoenolpyruvate	non			
glyceraldehyde-3-phosphate	non			
flavin adenine dinucleotide	non			
ribulose-5-phosphate	non			
citric acid	non			
maleic acid	non			
dihydroxyacetone phosphate	non			
ribulose-5-phosphate	non			
ceftazidime batsi	non			
coenzyme a persulfide	non			81918-99-2
n,n-bis(4-chlorobenzyl)-1h-1,2,3,4-tetraazol-5-amine	non			
ergosterol	approved			57-87-4
3-oxo-pentadecanoic acid	non			
n-[1,3-di(4-morpholinyl)-2-propanyl]-3-(α-d-galactopyranosyloxy)-5-nitrobenzamide	non			
nitrocefin acyl-serine	non			
2-[4-(hydroxy-methoxy-methyl)-benzyl]-7-(4-hydroxymethyl-benzyl)-1,1-dioxo-3,6-bis-phenoxymethyl-1lambda6-[1,2,7]thiadiazepane-4,5-diol	non			
carboxymycobactin t	non			
4-{2-[(3-nitrobenzoyl)amino]phenoxy}phthalic acid	non			
(r)-methylmalonyl-coa	non			
methyl beta-galactoside	non			
6-hydroxymethylpterin diphosphate	non			6863-06-5
n-carbamoyl-alanine	non			
coelenteramide	non			
n-propyl isocyanide	non			
5-phenylpentanoic acid	non			2270-20-4
3,4-xylenol	non			95-65-8
hypophosphite	non			15460-68-1
9-butyl-8-(2,5-dimethoxy-benzyl)-2-fluoro-9h-purin-6-ylamine	non			
2,3-dicarboxy-4-(2-chloro-phenyl)-1-ethyl-5-isopropoxycarbonyl-6-methyl-pyridinium	non			
n-[4-([(2-amino-4-oxo-1,4-dihydropyrido[3,2-d]pyrimidin-6-yl)methyl]{(2e)-3-[4-carbamoyl-1-(5-o-phosphono-beta-d-ribofuranosyl)-1h-imidazol-5-yl]-2-propenoyl}amino)benzoyl]-l-glutamic acid	non			
n-carbamoylphenylalanine	non			949-45-1
8-(pyrimidin-2-ylamino)naphthalene-2-carboximidamide	non			
(5-methyl-6-oxo-1,6-dihydro-pyridin-3-yl)-1,2-dideoxy-ribofuranose-5-monophosphate	non			
alpha-amino-2-indanacetic acid	non			
beta-d-fucose	non			28161-52-6
alpha-methylleucine	non			105743-53-1
nogalaviketone	non			
n-cyclopentyl-n-cyclobutylformamide	non			
p-coumaric acid	non			501-98-4
4-hydroxybenzyl coenzyme a	non			
2',3'-dideoxy-3'-fluoro-urididine-5'-diphosphate	non			
5,6-dihydro-benzo[h]cinnolin-3-ylamine	non			
6-deoxyerythronolide b	non			
cpad	non			
alpha-methylisocitric acid	non			
